epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1131.46,0.83627,0.63516,0.00828,0.9395,0.88193,0.94234,0.74348,0.8674,0.56607,0.01241,0.00326134,0.00108711,0.00326134,0.00108711,0.00326134,0.00108711,0.00326134,0.00108711
31,1158.19,0.87089,0.65223,0.00853,0.92345,0.89859,0.94357,0.73964,0.90752,0.55948,0.01331,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
32,1185.58,0.8461,0.62259,0.00834,0.93075,0.89867,0.94951,0.73575,0.91732,0.53496,0.01326,0.0031906,0.00106353,0.0031906,0.00106353,0.0031906,0.00106353,0.0031906,0.00106353
33,1212.4,0.84325,0.59557,0.00828,0.94506,0.88462,0.95107,0.7448,0.88763,0.52454,0.01297,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174,0.00315523,0.00105174
34,1240.81,0.8724,0.61506,0.00845,0.89153,0.89905,0.93821,0.74127,0.87944,0.55682,0.01277,0.00311986,0.00103995,0.00311986,0.00103995,0.00311986,0.00103995,0.00311986,0.00103995
35,1272.34,0.82021,0.59821,0.00775,0.89705,0.90285,0.9411,0.74581,0.8598,0.53689,0.01257,0.0030845,0.00102817,0.0030845,0.00102817,0.0030845,0.00102817,0.0030845,0.00102817
36,1302.66,0.8168,0.59098,0.00785,0.91354,0.88077,0.94066,0.7437,0.87752,0.55941,0.01278,0.00304913,0.00101638,0.00304913,0.00101638,0.00304913,0.00101638,0.00304913,0.00101638
37,1337.51,0.81535,0.55677,0.00799,0.88812,0.90614,0.94576,0.74371,0.87003,0.56402,0.01267,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
38,1366.79,0.80163,0.57138,0.00766,0.90541,0.90287,0.9451,0.74385,0.89114,0.5929,0.01298,0.00297839,0.000992798,0.00297839,0.000992798,0.00297839,0.000992798,0.00297839,0.000992798
39,1395.24,0.80799,0.59211,0.0078,0.93151,0.89562,0.95315,0.74993,0.89269,0.53485,0.01303,0.00294303,0.000981008,0.00294303,0.000981008,0.00294303,0.000981008,0.00294303,0.000981008
40,1424.13,0.8134,0.56608,0.00785,0.88371,0.90477,0.9446,0.74532,0.87384,0.58972,0.01236,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219
41,1455.23,0.81687,0.5649,0.0079,0.91067,0.92058,0.95393,0.76041,0.87062,0.54345,0.01246,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743,0.00287229,0.00095743
42,1484.19,0.79613,0.53081,0.00774,0.9092,0.9292,0.95123,0.75258,0.8943,0.50666,0.01275,0.00283692,0.000945641,0.00283692,0.000945641,0.00283692,0.000945641,0.00283692,0.000945641
43,1512.89,0.80608,0.55915,0.00768,0.88826,0.93029,0.9473,0.74607,0.88313,0.53568,0.01262,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
